"bioma","alimentacao","status","populacao","exemplares","idade","tamanho","envergadura"
"1","Cerrado","Onivoro","VU",281.270619942718,6,10,151,224
"2","Mata Atlântica","Onivoro","EX",289.13173013249,57,13,17,273
"3","Caatinga","Hematofago","LC",271.030145079118,39,20,413,248
"4","Pampa","Frugivoro","EX",312.243741333183,1,20,52,225
"5","Pampa","Frugivoro","NT",299.108737382271,99,11,319,210
"6","Cerrado","Hematofago","CE",285.929805836535,33,13,168,272
"7","Amazônia","Frugivoro","EX",261.884633054304,56,7,493,279
"8","Caatinga","Frugivoro","VU",280.346287677787,54,10,125,220
"9","Amazônia","Frugivoro","EN",325.091649155591,3,3,462,216
"10","Caatinga","Carnivoro","EW",304.772430990055,13,16,335,238
"11","Caatinga","Frugivoro","NT",320.245530801326,30,19,307,241
"12","Caatinga","Onivoro","EW",325.076763749283,88,9,100,230
"13","Caatinga","Onivoro","CE",311.833421008373,34,6,86,240
"14","Cerrado","Frugivoro","EX",306.910320484488,48,2,229,272
"15","Cerrado","Frugivoro","EN",300.814586812868,45,2,67,272
"16","Caatinga","Frugivoro","LC",298.711331889596,77,9,490,293
"17","Cerrado","Frugivoro","EX",296.612064360072,90,9,366,234
"18","Cerrado","Hematofago","EW",336.349328370159,14,2,198,204
"19","Amazônia","Frugivoro","EW",279.357360431205,54,8,268,268
"20","Amazônia","Frugivoro","CE",322.937459251758,47,3,181,204
"21","Amazônia","Hematofago","EN",292.62912278029,74,11,251,287
"22","Pantanal","Frugivoro","CE",360.138569564079,84,3,314,205
"23","Cerrado","Hematofago","EN",281.852486120377,84,15,438,278
"24","Pantanal","Hematofago","EN",287.162648799415,20,4,90,250
"25","Cerrado","Onivoro","NT",275.160749458595,29,12,422,296
"26","Amazônia","Carnivoro","LC",290.707326992528,56,15,32,203
"27","Pantanal","Frugivoro","LC",307.60569132395,2,10,23,201
"28","Caatinga","Frugivoro","EN",278.057398564728,51,17,402,203
"29","Caatinga","Frugivoro","LC",305.441601286563,84,2,57,207
"30","Pampa","Onivoro","NT",300.611339493943,23,14,30,232
"31","Pantanal","Frugivoro","VU",289.242010348308,66,8,107,274
"32","Pantanal","Carnivoro","VU",282.592325587197,29,20,20,298
"33","Pantanal","Onivoro","CE",303.912570138789,84,12,117,251
"34","Caatinga","Onivoro","NT",319.030930041321,14,9,228,219
"35","Mata Atlântica","Onivoro","EW",291.520168317882,76,5,119,261
"36","Mata Atlântica","Frugivoro","LC",273.415316389981,15,14,32,269
"37","Cerrado","Onivoro","VU",272.588238828592,98,2,99,246
"38","Pantanal","Frugivoro","CE",279.524564272143,90,20,465,294
"39","Caatinga","Frugivoro","VU",295.168316838354,79,18,135,275
"40","Pampa","Frugivoro","EN",297.391667176119,85,18,215,260
"41","Amazônia","Onivoro","EN",283.600678244161,26,8,149,218
"42","Caatinga","Onivoro","LC",311.420975560665,38,12,101,251
"43","Mata Atlântica","Frugivoro","EX",293.403010262612,1,10,165,208
"44","Mata Atlântica","Onivoro","NT",292.72846289942,88,13,296,255
"45","Pantanal","Frugivoro","VU",281.027816698908,71,8,162,266
"46","Pantanal","Onivoro","EN",283.371110869553,99,16,412,203
"47","Caatinga","Onivoro","EN",307.415868909859,46,2,433,231
"48","Amazônia","Carnivoro","LC",286.640921488967,85,20,339,299
"49","Cerrado","Carnivoro","LC",299.679896017595,74,6,135,208
"50","Amazônia","Carnivoro","LC",315.457316420237,22,17,137,236
"51","Mata Atlântica","Carnivoro","VU",308.790767960216,2,10,65,287
"52","Pantanal","Frugivoro","EN",285.083216016111,86,14,319,263
"53","Pantanal","Frugivoro","EN",294.392700328502,56,12,480,260
"54","Caatinga","Onivoro","EN",308.974236329422,13,6,136,231
"55","Mata Atlântica","Frugivoro","EN",287.38302422691,73,4,294,265
"56","Pampa","Frugivoro","CE",319.083259124553,57,11,110,257
"57","Mata Atlântica","Carnivoro","VU",332.983070621132,6,16,66,224
"58","Mata Atlântica","Hematofago","CE",292.279155323596,57,8,215,299
"59","Mata Atlântica","Frugivoro","EX",290.295248643463,30,16,391,272
"60","Caatinga","Frugivoro","EN",280.461920301408,57,2,225,262
"61","Amazônia","Onivoro","VU",307.234483812612,60,2,331,286
"62","Pampa","Frugivoro","VU",310.228688523519,88,7,295,204
"63","Pampa","Frugivoro","CE",267.950240456438,70,4,44,240
"64","Pantanal","Onivoro","VU",298.991986349195,74,11,261,279
"65","Pantanal","Frugivoro","VU",300.034566253622,24,4,359,205
"66","Cerrado","Frugivoro","EX",318.016679697173,5,13,415,279
"67","Pantanal","Carnivoro","EN",311.130158266618,36,3,97,248
"68","Pantanal","Onivoro","NT",282.625612865454,61,5,417,292
"69","Pampa","Carnivoro","LC",301.866897991559,62,18,10,241
"70","Caatinga","Carnivoro","EX",302.457777934657,41,13,277,235
"71","Amazônia","Hematofago","LC",303.677063589748,3,11,310,274
"72","Amazônia","Carnivoro","NT",315.843777007981,24,16,179,281
"73","Cerrado","Hematofago","LC",315.140732812404,26,15,317,299
"74","Pantanal","Hematofago","NT",317.765282813465,4,13,61,274
"75","Cerrado","Frugivoro","EX",317.665729054765,93,16,249,227
"76","Amazônia","Carnivoro","LC",318.893633751636,48,19,350,238
"77","Pantanal","Onivoro","EW",285.95899477292,100,11,2,282
"78","Mata Atlântica","Onivoro","VU",307.14604330859,83,14,19,223
"79","Mata Atlântica","Hematofago","CE",271.665499014949,50,16,330,284
"80","Cerrado","Carnivoro","EX",328.296066244335,85,7,284,212
"81","Mata Atlântica","Carnivoro","CE",339.752763917843,75,17,130,233
"82","Pantanal","Onivoro","EW",297.159857729119,99,20,214,297
"83","Amazônia","Onivoro","LC",301.938171937792,44,14,171,255
"84","Caatinga","Frugivoro","CE",322.172373001787,37,19,309,202
"85","Cerrado","Carnivoro","VU",305.738987411757,94,7,84,260
"86","Pantanal","Onivoro","EW",314.44887509578,65,12,444,228
"87","Caatinga","Hematofago","NT",303.93368081853,5,17,223,256
"88","Amazônia","Carnivoro","EX",296.984414289316,57,17,238,241
"89","Caatinga","Onivoro","VU",283.380781078996,76,14,38,294
"90","Pampa","Onivoro","VU",316.868755565394,97,8,400,278
"91","Pampa","Carnivoro","LC",291.672272728201,76,3,36,261
"92","Pampa","Onivoro","LC",267.422610844799,36,12,101,238
"93","Pampa","Frugivoro","LC",312.670513483151,83,20,35,253
"94","Cerrado","Onivoro","EX",274.692774757259,2,9,169,212
"95","Pantanal","Carnivoro","EN",272.927380481646,38,5,387,230
"96","Cerrado","Onivoro","LC",309.515446960398,84,9,188,267
"97","Cerrado","Carnivoro","EW",277.949452812361,80,12,271,263
"98","Amazônia","Carnivoro","EW",299.207111409805,21,4,395,213
"99","Amazônia","Carnivoro","NT",302.274576679513,58,6,312,238
"100","Pampa","Frugivoro","VU",296.090363013783,97,19,381,250
"101","Cerrado","Onivoro","EX",318.847525471972,72,8,208,280
"102","Amazônia","Onivoro","NT",323.557209961138,16,13,30,201
"103","Caatinga","Frugivoro","EN",271.99726081301,59,13,42,219
"104","Caatinga","Carnivoro","CE",335.424956272756,23,16,194,262
"105","Caatinga","Frugivoro","LC",316.413373847146,32,8,119,267
